ticker,period,metric,value,unit,source_url,verified
LUV,2020Q1,enplaned_passengers,29779.0,thousands,https://www.sec.gov/Archives/edgar/data/92380/000009238020000059/er-3312020xerdoc.htm,True
LUV,2020Q2,enplaned_passengers,6990.0,thousands,https://www.sec.gov/Archives/edgar/data/92380/000009238020000119/er-6302020xerdoc.htm,True
LUV,2020Q3,enplaned_passengers,15064.0,thousands,https://www.sec.gov/Archives/edgar/data/92380/000009238020000141/er-9302020xerdoc.htm,True
LUV,2020Q4,enplaned_passengers,15952.0,thousands,https://www.sec.gov/Archives/edgar/data/92380/000009238021000006/er-12312020xerdoc.htm,True
LUV,2021Q1,enplaned_passengers,17927.0,thousands,https://www.sec.gov/Archives/edgar/data/92380/000009238021000092/er-3312021xerdoc.htm,True
LUV,2021Q2,enplaned_passengers,32786.0,thousands,https://www.sec.gov/Archives/edgar/data/92380/000009238021000140/er-6302021xerdoc.htm,True
LUV,2021Q3,enplaned_passengers,36534.0,thousands,https://www.sec.gov/Archives/edgar/data/92380/000009238021000156/er-9302021xerdoc.htm,True
LUV,2021Q4,enplaned_passengers,36017.0,thousands,https://www.sec.gov/Archives/edgar/data/92380/000009238022000003/er-12312021xerdoc.htm,True
LUV,2022Q1,enplaned_passengers,32005.0,thousands,https://www.sec.gov/Archives/edgar/data/92380/000009238022000016/er-3312022xerdoc.htm,True
LUV,2022Q2,enplaned_passengers,41284.0,thousands,https://www.sec.gov/Archives/edgar/data/92380/000009238022000043/er-6302022xerdoc.htm,True
LUV,2022Q3,enplaned_passengers,43157.0,thousands,https://www.sec.gov/Archives/edgar/data/92380/000009238022000058/er-9302022xerdoc.htm,True
LUV,2022Q4,enplaned_passengers,40536.0,thousands,https://www.sec.gov/Archives/edgar/data/92380/000009238023000007/er-12312022xerdoc.htm,True
LUV,2023Q1,enplaned_passengers,37666.0,thousands,https://www.sec.gov/Archives/edgar/data/92380/000009238023000021/er-3312023xerdoc.htm,True
LUV,2023Q2,enplaned_passengers,44787.0,thousands,https://www.sec.gov/Archives/edgar/data/92380/000009238023000036/er-6302023xerdoc.htm,True
LUV,2023Q3,enplaned_passengers,44598.0,thousands,https://www.sec.gov/Archives/edgar/data/92380/000009238023000047/er-9302023xerdoc.htm,True
LUV,2023Q4,enplaned_passengers,44766.0,thousands,https://www.sec.gov/Archives/edgar/data/92380/000009238024000026/a262024-updated2023financi.htm,True
LUV,2024Q1,enplaned_passengers,40897.0,thousands,https://www.sec.gov/Archives/edgar/data/92380/000009238024000053/er-3312024xerdoc.htm,True
LUV,2024Q2,enplaned_passengers,47267.0,thousands,https://www.sec.gov/Archives/edgar/data/92380/000009238024000108/er-6302024xerdoc.htm,True
LUV,2024Q3,enplaned_passengers,44711.0,thousands,https://www.sec.gov/Archives/edgar/data/92380/000009238024000145/er-9302024xerdoc.htm,True
LUV,2024Q4,enplaned_passengers,42591.0,thousands,https://www.sec.gov/Archives/edgar/data/92380/000009238025000007/er-12312024xerdoc.htm,True
LUV,2025Q1,enplaned_passengers,37139.0,thousands,https://www.sec.gov/Archives/edgar/data/92380/000009238025000079/er-3312025xerdoc.htm,True
LUV,2025Q2,enplaned_passengers,44385.0,thousands,https://www.sec.gov/Archives/edgar/data/92380/000009238025000131/er-6302025xerdoc.htm,True
LUV,2025Q3,enplaned_passengers,43806.0,thousands,https://www.sec.gov/Archives/edgar/data/92380/000009238025000138/er-9302025xerdoc.htm,True
LUV,2025Q4,enplaned_passengers,43004.0,thousands,https://www.sec.gov/Archives/edgar/data/92380/000009238026000002/er-12312025xerdoc.htm,True
LUV,2026Q1,enplaned_passengers,37277.0,thousands,https://www.sec.gov/Archives/edgar/data/92380/000009238026000044/er-3312026xerdoc.htm,True
LUV,2005Q2,load_factor,72.5,percent,https://www.sec.gov/Archives/edgar/data/92380/000009238006000007/exhibit_99-1.htm,True
LUV,2005Q3,load_factor,74.9,percent,https://www.sec.gov/Archives/edgar/data/92380/000009238006000018/ex_99-1.htm,True
LUV,2005Q4,load_factor,69.6,percent,https://www.sec.gov/Archives/edgar/data/92380/000009238007000003/ex99-1.htm,True
LUV,2006Q1,load_factor,69.2,percent,https://www.sec.gov/Archives/edgar/data/92380/000009238007000011/ex99-1.htm,True
LUV,2006Q2,load_factor,78.0,percent,https://www.sec.gov/Archives/edgar/data/92380/000009238006000007/exhibit_99-1.htm,True
LUV,2006Q3,load_factor,74.7,percent,https://www.sec.gov/Archives/edgar/data/92380/000009238006000018/ex_99-1.htm,True
LUV,2006Q4,load_factor,70.2,percent,https://www.sec.gov/Archives/edgar/data/92380/000009238007000003/ex99-1.htm,True
LUV,2007Q1,load_factor,68.0,percent,https://www.sec.gov/Archives/edgar/data/92380/000009238007000011/ex99-1.htm,True
LUV,2007Q2,load_factor,76.1,percent,https://www.sec.gov/Archives/edgar/data/92380/000009238007000022/ex99_1.htm,True
LUV,2007Q3,load_factor,76.6,percent,https://www.sec.gov/Archives/edgar/data/92380/000009238007000032/ex99_1.htm,True
LUV,2007Q4,load_factor,69.3,percent,https://www.sec.gov/Archives/edgar/data/92380/000009238008000003/ex99_1.htm,True
